OBJECTID,F5_Digit_NTD_ID,NTDID5,Legacy_NTD_ID,Agency_Name,Reporter_Acronym,Doing_Business_As,Reporter_Status,Reporter_Type,Reporting_Module,Organization_Type,Reported_By_NTD_ID,Reported_by_Name,Subrecipient_Type,FY_End_Date,Original_Due_Date,Address_Line_1,Address_Line_2,PO_Box,City,State,Zip_Code,Zip_Code_Ext,Region,URL,FTA_Recipient_ID,Service_Area_Sq_Miles,Service_Area_Pop,Primary_UZA,UZA_Name,Tribal_Area_Name,Density,Sq_Miles,Required_Reporter,VOMS_DO,VOMS_PT,Total_VOMS,Volunteer_Drivers,Personal_Vehicles,MSGUSPS,MSG2KX,LON,LAT,NTMParticipation
1,10186,10186, ,"Adlib, Inc.", , ,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation, , , ,6/30/2016 0:00,10/31/2016 0:00,215 North Street, , ,Pittsfield,MA,1201, ,1,http://www.adlibcil.org/, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.253297,42.451806,Yet To Be Contacted
2,10187,10187, ,Dalton Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,40 Field Street Extension, , ,Dalton,MA,1226, ,1,http://www.dalton-ma.gov/index.asp?SEC=E1EDD3E4-D60E-458A-A9E5-15CC65FB5749&Type=B_BASIC, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-73.166573,42.475781,Yet To Be Contacted
3,10188,10188, ,Williamstown Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,118 Church Street, , ,Williamstown,MA,1267, ,1,http://williamstownma.gov/2157/Council-on-Aging, ,25,2000,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.196604,42.717042,Yet To Be Contacted
4,10189,10189, ,Southern Berkshire Elderly Transportation Corp.,SBETC, ,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation, , , ,6/30/2016 0:00,10/31/2016 0:00,917 Main Street, , ,Great Barrington,MA,1230, ,1,http://www.montereyma.gov/Public_Documents/MontereyMA_About/SBETC, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,3, ,3, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.362372,42.173682,Yet To Be Contacted
5,10190,10190, ,Lenox Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,65 Walker St., , ,Lenox,MA,1240, ,1,http://www.townoflenox.com/public_documents/lenoxma_bcomm/aging, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.282492,42.355656,Yet To Be Contacted
6,10191,10191, ,Lanesborough Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,83 North Main Street, ,1492,Lanesborough,MA,1201, ,1,http://www.lanesborough-ma.gov, ,30,3091,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.228268,42.520367,Yet To Be Contacted
7,10192,10192, ,North Adams Council on Aging,nacoa, ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,116 Ashland Street,Mary Spitzer Center, ,North Adams,MA,1247, ,1,http://northadams-ma.gov/index.php?nav_id=25, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,2, ,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.109671,42.695553,Yet To Be Contacted
8,10193,10193, ,Town of Sheffield Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,25 Cook Road, , ,Sheffield,MA,1257, ,1,http://www.sheffieldma.gov/Pages/SheffieldMA_COA/index, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,House # not found on this street,** Street-Level Rooftop **,-73.358244,42.122279,Yet To Be Contacted
9,10194,10194, ,"Soldier On, Inc.", , ,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation, , , ,6/30/2016 0:00,10/31/2016 0:00,290 Merrill Road, , ,Pittsfield,MA,1201, ,1,www.wesoldieron.org, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,2, ,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.213608,42.455721,Yet To Be Contacted
10,10195,10195, ,Cheshire Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00, , ,647,Cheshire,MA,1225, ,1,www.cheshire-ma.net, ,384,127500,448,"Pittsfield, MA", ,1765,34, ,1, ,1, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-73.147,42.5585,Yet To Be Contacted
